Title;Price(Kč/1000g);Country;Variety;Altitude;Processing;Taste;BIO
KŘEHKÉ CUKROVÍ zrnková káva;580;Peru;Typica;1900m;Mokré;Cukroví;Ne
VANILKOVO-OŘECHOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Vanilka, ořech;Ne
MALIBU zrnková káva;580;Peru;Typica;1900m;Mokré;Malibu;Ne
VIŠNĚ V ČOKOLÁDĚ zrnková káva;580;Peru;Typica;1900m;Mokré;Višeň, čokoláda;Ne
CHERRY zrnková káva;580;Peru;Typica;1900m;Mokré;Cherry;Ne
SMETANOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Smetana;Ne
TOFFEE zrnková káva;580;Peru;Typica;1900m;Mokré;Toffee;Ne
TIRAMISU zrnková káva;580;Peru;Typica;1900m;Mokré;Tiramisu;Ne
CRÉME BRULÉE zrnková káva;580;Peru;Typica;1900m;Mokré;Cream Brule;Ne
VANILKOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Vanilka;Ne
ČOKOLÁDOVÉ ČOČKY VENEZUELA ORIGIN 58%;1057;Venezuela;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY SVATÝ TOMÁŠ ORIGIN 70%;848;Afrika;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY PAPUA NOVA GUINEA ORIGIN MLÉČNÁ 37%;1081;Papua Nova Guinea;;;;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY SAINT DOMINIGUE ORIGIN 70%;927;Haity;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY GRENADE ORIGIN 60%;905;;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY VENEZUELA ORIGIN 72%;1036;Venezuela;;;;;Ne
COLUMBIA HUILA WOMEN´S COFFEE PROJECT - Micro Lot;869;Kolumbie;Castillo;1500 - 1700m;Mokré;Citrusy a ořechy;Ne
KEŇA KAINAMUI AA - Micro Lot;1050;Keňa;SL 34;1800m;Mokré;Ovoce, čokoláda;Ne
KOSTARIKA FINCA EL ROSARI - Micro Lot;1289;Kostarika;Caturra;1600;Suché;Mléčná čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY JAVA ORIGIN MLÉČNÁ 34%;864;Java/Indonésie;;;;Mléčná čokoláda;Ne
