ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
33;0,0;0,0;0;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285;0,4;1,0;0,5714285714285715;0,4;1,0;0,5714285714285715
34;0,0;0,0;0;0,2;0,2857142857142857;0,23529411764705882;0,3;0,42857142857142855;0,3529411764705882;0,3;0,42857142857142855;0,3529411764705882;0,3;0,42857142857142855;0,3529411764705882;0,3;0,42857142857142855;0,3529411764705882
35;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
36;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
37;0,0;0,0;0;0,1;0,1;0,10000000000000002;0,1;0,1;0,10000000000000002;0,1;0,1;0,10000000000000002;0,3;0,3;0,3;0,4;0,4;0,4000000000000001
38;0,0;0,0;0;0,0;0,0;0;0,2;0,18181818181818182;0,1904761904761905;0,1;0,09090909090909091;0,09523809523809525;0,2;0,18181818181818182;0,1904761904761905;0,2;0,18181818181818182;0,1904761904761905
39;0,0;0,0;0;0,0;0,0;0;0,1;0,07142857142857142;0,08333333333333333;0,1;0,07142857142857142;0,08333333333333333;0,2;0,14285714285714285;0,16666666666666666;0,2;0,14285714285714285;0,16666666666666666
40;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,1;0,07692307692307693;0,08695652173913043;0,1;0,07692307692307693;0,08695652173913043
41;0,0;0,0;0;0,1;0,25;0,14285714285714288;0,1;0,25;0,14285714285714288;0,1;0,25;0,14285714285714288;0,2;0,5;0,28571428571428575;0,2;0,5;0,28571428571428575
42;0,0;0,0;0;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25;0,2;0,3333333333333333;0,25;0,3;0,5;0,37499999999999994;0,3;0,5;0,37499999999999994
43;0,0;0,0;0;0,1;0,14285714285714285;0,11764705882352941;0,2;0,2857142857142857;0,23529411764705882;0,3;0,42857142857142855;0,3529411764705882;0,5;0,7142857142857143;0,588235294117647;0,5;0,7142857142857143;0,588235294117647
44;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
45;0,0;0,0;0;0,2;0,15384615384615385;0,17391304347826086;0,2;0,15384615384615385;0,17391304347826086;0,2;0,15384615384615385;0,17391304347826086;0,3;0,23076923076923078;0,2608695652173913;0,3;0,23076923076923078;0,2608695652173913
46;0,0;0,0;0;0,1;0,0625;0,07692307692307693;0,4;0,25;0,3076923076923077;0,5;0,3125;0,38461538461538464;0,6;0,375;0,4615384615384615;0,6;0,375;0,4615384615384615
47;0,0;0,0;0;0,7;0,4666666666666667;0,56;0,3;0,2;0,24;0,4;0,26666666666666666;0,32;0,4;0,26666666666666666;0,32;0,5;0,3333333333333333;0,4
48;0,0;0,0;0;0,3;0,25;0,2727272727272727;0,3;0,25;0,2727272727272727;0,3;0,25;0,2727272727272727;0,3;0,25;0,2727272727272727;0,3;0,25;0,2727272727272727
