ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision_1;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
175;0;0;0;0.2;0.333333333;0.25;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.1;0.166666667;0.125;0.2;0.333333333;0.25
176;0;0;0;0.1;0.125;0.111111111;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0.2;0.25;0.222222222;0.2;0.25;0.222222222
177;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0.5;0.375;0.3;0.5;0.375
178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
179;0;0;0;0;0;0;0;0;0;0.1;0.2;0.133333333;0.3;0.6;0.4;0.3;0.6;0.4
180;0;0;0;0.3;0.375;0.333333333;0.2;0.25;0.222222222;0.3;0.375;0.333333333;0.4;0.5;0.444444444;0.4;0.5;0.444444444
181;0;0;0;0.2;0.333333333;0.25;0.2;0.333333333;0.25;0.2;0.333333333;0.25;0.1;0.166666667;0.125;0.1;0.166666667;0.125
182;0;0;0;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
184;0;0;0;0.2;0.25;0.222222222;0;0;0;0;0;0;0.1;0.125;0.111111111;0.1;0.125;0.111111111
185;0;0;0;0.6;0.6;0.6;0.8;0.8;0.8;0.7;0.7;0.7;0.6;0.6;0.6;0.7;0.7;0.7
186;0;0;0;0.2;0.117647059;0.148148148;0.1;0.058823529;0.074074074;0.2;0.117647059;0.148148148;0.3;0.176470588;0.222222222;0.4;0.235294118;0.296296296
187;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059;0.1;0.142857143;0.117647059
188;0;0;0;0;0;0;0.1;0.083333333;0.090909091;0.2;0.166666667;0.181818182;0.4;0.333333333;0.363636364;0.4;0.333333333;0.363636364
189;0;0;0;0.1;0.1;0.1;0;0;0;0;0;0;0.3;0.3;0.3;0.3;0.3;0.3
190;0;0;0;0.2;0.333333333;0.25;0.1;0.166666667;0.125;0.2;0.333333333;0.25;0.3;0.5;0.375;0.3;0.5;0.375
191;0;0;0;0.2;0.142857143;0.166666667;0.2;0.142857143;0.166666667;0.3;0.214285714;0.25;0.7;0.5;0.583333333;0.8;0.571428571;0.666666667
192;0;0;0;0.3;0.6;0.4;0.1;0.2;0.133333333;0.1;0.2;0.133333333;0.2;0.4;0.266666667;0.3;0.6;0.4
193;0;0;0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.7;0.7;0.7;0.7;0.7;0.7
194;0;0;0;0.2;0.285714286;0.235294118;0.2;0.285714286;0.235294118;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176;0.4;0.571428571;0.470588235
195;0;0;0;0.1;0.25;0.142857143;0.1;0.25;0.142857143;0.2;0.5;0.285714286;0.2;0.5;0.285714286;0.2;0.5;0.285714286
196;0;0;0;0.1;0.076923077;0.086956522;0;0;0;0;0;0;0;0;0;0;0;0
197;0;0;0;0.2;0.5;0.285714286;0.2;0.5;0.285714286;0.2;0.5;0.285714286;0.4;1;0.571428571;0.4;1;0.571428571
198;0;0;0;0.1;0.2;0.133333333;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333
199;0;0;0;0;0;0;0.1;0.111111111;0.105263158;0.1;0.111111111;0.105263158;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316
200;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.5;0.285714286;0.2;0.5;0.285714286
201;0;0;0;0.2;0.117647059;0.148148148;0.2;0.117647059;0.148148148;0.1;0.058823529;0.074074074;0.4;0.235294118;0.296296296;0.4;0.235294118;0.296296296
202;0;0;0;0.2;0.133333333;0.16;0;0;0;0.1;0.066666667;0.08;0.2;0.133333333;0.16;0.2;0.133333333;0.16
203;0;0;0;0.1;0.066666667;0.08;0;0;0;0;0;0;0.2;0.133333333;0.16;0.2;0.133333333;0.16
204;0;0;0;0.1;0.066666667;0.08;0;0;0;0.1;0.066666667;0.08;0;0;0;0;0;0
205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;0;0;0;0.2;0.5;0.285714286;0.1;0.25;0.142857143;0.1;0.25;0.142857143;0.3;0.75;0.428571429;0.3;0.75;0.428571429
207;0.1;0.166666667;0.125;0;0;0;0.2;0.333333333;0.25;0.3;0.5;0.375;0.3;0.5;0.375;0.3;0.5;0.375
208;0;0;0;0.2;0.285714286;0.235294118;0;0;0;0;0;0;0.3;0.428571429;0.352941176;0.3;0.428571429;0.352941176
209;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.076923077;0.086956522;0.1;0.076923077;0.086956522
210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211;0;0;0;0.2;0.166666667;0.181818182;0.1;0.083333333;0.090909091;0.1;0.083333333;0.090909091;0;0;0;0;0;0
212;0.1;0.066666667;0.08;0.5;0.333333333;0.4;0.2;0.133333333;0.16;0.3;0.2;0.24;0.5;0.333333333;0.4;0.6;0.4;0.48
213;0;0;0;0.5;0.416666667;0.454545455;0.2;0.166666667;0.181818182;0.2;0.166666667;0.181818182;0.5;0.416666667;0.454545455;0.6;0.5;0.545454545
214;0;0;0;0.2;0.4;0.266666667;0.2;0.4;0.266666667;0.2;0.4;0.266666667;0.2;0.4;0.266666667;0.2;0.4;0.266666667
